C0:56:27:3A:34:29,48:F8:B3:24:A8:3F,F0:29:29:92:6B:50,B4:E9:B0:E5:0B:D0,Bin
70,39,0,0,13
70,38,0,0,13
70,37,0,0,13
70,38,0,0,13
70,35,0,0,13
70,38,0,0,13
66,34,0,0,13
67,30,0,0,13
67,40,0,0,13
64,38,0,0,13
64,36,0,0,13
66,37,0,0,13
64,35,0,0,13
66,32,0,0,13
61,33,0,0,13
70,43,0,0,13
70,39,0,0,14
70,39,0,0,14
70,37,29,0,14
70,36,29,0,14
70,35,29,0,14
70,35,29,0,14
70,39,27,0,14
70,39,27,0,14
70,38,28,0,14
70,33,28,0,14
70,33,28,0,14
70,36,28,0,14
69,32,26,0,14
70,40,26,0,14
70,38,26,0,14
70,43,26,0,14
70,44,26,0,14
69,42,26,0,14
70,40,26,0,14
69,35,26,0,14
70,38,26,0,14
70,42,26,0,14
69,43,26,0,14
65,44,26,0,14
70,37,26,0,14
70,41,26,0,14
70,38,26,0,14
68,39,26,0,14
70,36,26,0,14
66,36,26,0,14
70,39,26,0,14
70,38,26,0,14
70,33,26,0,14
70,35,26,0,14
70,37,26,0,14
64,38,26,0,14
70,38,26,0,14
68,41,26,0,14
70,41,0,0,14
70,37,0,0,14
70,38,0,0,14
70,42,0,0,14
70,40,0,0,14
70,40,0,0,14
70,45,0,0,14
70,41,0,0,14
70,43,0,0,14
70,43,0,0,14
69,39,0,0,14
66,45,0,0,14
70,42,26,0,14
70,39,26,0,14
70,42,26,0,14
68,45,26,0,14
69,43,26,0,14
70,40,26,0,14
70,42,26,0,14
69,36,26,0,14
68,37,26,0,14
69,42,26,0,14
68,41,26,0,14
70,35,26,0,14
67,42,28,0,14
67,44,28,0,14
70,42,28,0,14
70,37,28,0,14
70,42,28,0,14
68,35,28,0,14
65,34,28,0,14
70,37,28,0,14
67,34,28,0,14
70,43,28,0,14
64,39,28,0,14
70,43,28,0,14
68,42,28,0,14
67,32,28,0,14
67,40,28,0,14
68,41,28,0,14
68,36,28,0,14
65,39,28,0,14
65,42,28,0,14
66,36,28,0,14
67,32,28,0,14
61,38,28,0,14
64,34,0,0,14
70,40,0,0,14
70,41,0,0,14
70,36,0,0,14
70,36,0,0,14
70,37,0,0,14
67,34,0,0,14
66,40,0,0,14
68,36,0,0,14
68,38,0,0,14
67,37,0,0,14
67,35,0,0,14
64,33,0,0,14
63,40,0,0,14
64,38,0,0,14
70,40,0,0,14
66,44,0,0,14
69,40,0,0,14
70,41,0,0,14
70,35,0,0,14
70,45,0,0,14
70,37,0,0,14
70,37,0,0,14
70,47,40,0,15
70,54,37,0,15
70,57,40,0,15
69,51,36,0,15
70,48,40,0,15
67,50,37,0,15
70,44,34,0,15
70,48,34,0,15
68,49,27,0,15
70,38,27,0,15
70,48,27,0,15
69,44,27,0,15
70,44,27,0,15
69,45,27,0,15
70,47,27,0,15
70,44,27,0,15
70,45,27,0,15
70,46,27,0,15
70,46,27,0,15
70,46,27,0,15
70,46,27,0,15
70,55,27,0,15
70,57,36,0,15
70,49,34,26,15
70,53,34,26,15
70,51,34,26,15
70,49,34,26,15
70,53,36,26,15
70,44,36,26,15
70,46,36,26,15
70,45,31,26,15
70,47,25,26,15
69,49,29,26,15
70,46,30,26,15
70,48,31,26,15
66,51,33,26,15
67,40,33,26,15
70,43,30,26,15
70,50,30,26,15
70,47,31,26,15
64,46,28,26,15
60,46,28,26,15
68,48,28,26,15
67,44,28,26,15
68,46,28,26,15
66,44,28,0,15
64,49,33,0,15
67,54,35,0,15
63,48,35,27,15
65,50,35,27,15
62,51,32,27,15
63,51,32,27,15
65,49,29,27,15
70,50,35,27,15
70,59,35,27,15
70,55,41,23,15
70,57,41,23,15
70,55,34,23,15
69,60,34,23,15
70,50,34,23,15
70,57,34,23,15
70,53,34,23,15
70,49,34,23,15
70,52,34,23,15
70,48,29,23,15
62,52,0,31,16
70,51,32,31,16
67,47,32,31,16
70,50,32,31,16
68,49,32,31,16
64,49,32,31,16
69,47,30,31,16
69,49,37,31,16
70,47,37,31,16
70,45,37,31,16
63,46,37,31,16
61,50,37,31,16
67,45,37,31,16
70,53,37,31,16
70,53,39,31,16
58,46,39,31,16
66,48,34,31,16
65,51,34,31,16
68,51,34,31,16
69,54,35,31,16
63,49,34,31,16
64,54,34,31,16
65,52,34,0,16
67,45,34,0,16
64,46,34,0,16
68,47,34,0,16
65,44,34,0,16
66,43,30,0,16
63,43,29,0,16
67,47,29,0,16
69,42,29,0,16
64,46,29,0,16
66,49,29,0,16
64,47,29,0,16
63,45,33,0,16
63,49,35,0,16
60,47,35,0,16
67,45,35,0,16
64,47,35,0,16
59,41,38,0,16
58,48,38,0,16
66,47,35,0,16
64,51,35,0,16
67,56,35,0,16
64,52,35,0,16
67,47,34,0,16
59,55,34,0,16
58,51,34,0,16
62,49,28,0,16
61,52,28,0,16
61,47,30,0,16
56,50,30,0,16
57,47,30,0,16
61,52,33,0,16
60,56,41,0,16
60,49,41,27,16
54,54,41,27,16
55,44,41,27,16
52,45,33,27,16
56,48,31,27,16
65,52,31,27,16
60,52,37,25,16
64,50,36,25,16
58,53,36,25,16
67,47,37,25,16
66,47,35,25,16
61,49,35,25,16
60,52,35,25,16
60,44,35,25,16
58,50,33,25,16
60,49,33,25,16
56,47,31,25,16
54,48,31,25,16
58,48,31,25,16
60,52,31,25,16
64,44,31,25,16
61,47,31,25,16
67,48,31,25,16
62,50,31,25,16
67,49,31,25,16
67,49,30,25,16
62,48,30,25,16
66,50,30,25,16
60,55,30,0,16
63,46,30,0,16
68,50,34,0,16
68,46,34,0,16
65,49,34,0,16
66,48,34,0,16
46,47,0,0,17
47,49,33,0,17
46,48,32,0,17
47,46,32,0,17
52,54,37,0,17
59,55,37,0,17
58,58,38,0,17
55,54,37,0,17
51,58,37,0,17
55,57,37,29,17
50,57,34,29,17
52,54,34,29,17
48,56,35,27,17
55,53,37,27,17
55,53,38,27,17
51,57,38,27,17
54,59,38,27,17
57,48,38,27,17
53,50,34,27,17
52,44,34,27,17
54,52,34,27,17
57,48,34,27,17
55,50,34,27,17
55,56,41,30,17
49,51,38,29,17
49,52,37,29,17
52,48,37,29,17
46,54,39,29,17
49,54,39,29,17
46,52,39,29,17
56,54,39,35,17
52,55,41,30,17
61,57,37,30,17
54,53,40,28,17
62,58,40,28,17
56,63,40,33,17
55,50,37,26,17
52,54,39,26,17
53,57,41,35,17
45,56,41,29,17
51,60,39,29,17
51,57,38,25,17
52,54,44,25,17
46,51,40,25,17
49,49,41,25,17
49,55,41,25,17
51,56,37,26,17
44,51,38,26,17
47,57,39,31,17
49,54,39,31,17
48,59,37,29,17
47,55,46,29,18
42,57,47,27,18
42,62,47,27,18
50,54,41,29,18
48,55,37,34,18
47,58,40,29,18
45,63,42,29,18
45,58,43,31,18
43,57,40,31,18
45,55,38,35,18
45,52,40,32,18
41,55,43,32,18
56,60,43,39,18
45,62,48,38,18
37,55,38,33,18
44,61,45,33,18
40,62,45,33,18
43,66,43,33,18
43,61,46,35,18
43,59,45,35,18
53,65,41,37,18
56,64,54,37,18
43,62,42,42,18
43,60,43,39,18
43,55,41,40,18
44,58,44,39,18
48,61,52,38,18
44,65,48,37,18
43,53,52,39,18
51,65,52,39,18
48,58,47,34,18
49,65,49,37,18
48,58,48,35,18
51,56,42,34,18
54,60,47,34,18
50,60,45,35,18
56,61,46,35,18
57,55,47,34,18
50,61,52,37,18
47,62,51,41,18
41,66,49,37,18
47,68,50,42,18
47,67,51,41,18
47,65,53,44,18
41,68,53,39,18
39,64,47,41,18
40,54,45,39,18
42,63,50,37,18
40,57,50,35,19
40,56,43,33,19
42,54,44,36,19
44,57,44,37,19
41,60,41,36,19
40,61,49,40,19
40,59,45,38,19
39,59,49,37,19
43,61,44,41,19
45,63,48,35,19
45,64,56,43,19
51,70,54,43,19
52,70,56,43,19
42,69,50,45,19
41,70,50,40,19
41,70,50,41,19
39,70,50,44,19
42,70,52,43,19
39,61,50,41,19
35,70,50,43,19
39,67,54,40,19
45,64,55,40,19
39,64,57,42,19
37,66,51,44,19
41,65,53,42,19
35,66,52,43,19
44,65,52,41,19
49,70,68,49,19
47,70,59,49,19
50,67,59,41,19
51,67,57,43,19
44,70,49,37,19
42,70,49,42,19
37,68,58,41,19
38,70,53,37,19
44,70,60,45,19
49,70,62,40,19
52,70,54,40,19
46,70,54,41,19
46,70,58,39,19
37,70,58,47,19
33,68,49,40,19
35,66,48,39,19
39,70,55,44,19
35,69,58,40,19
47,70,56,45,19
40,69,54,43,19
49,70,54,43,19
40,70,52,37,19
47,70,57,44,19
47,70,53,46,19
43,67,56,43,19
44,70,53,41,19
47,69,50,38,19
55,70,56,38,19
43,70,52,41,19
46,70,48,45,19
42,70,51,45,19
48,68,54,37,19
47,69,58,39,19
45,70,58,44,19
42,70,52,39,19
44,70,56,48,19
37,65,54,48,19
47,70,54,46,19
48,70,50,45,19
41,70,55,43,19
44,70,52,43,19
46,70,52,46,19
53,70,53,44,19
46,70,52,45,19
46,68,50,45,19
54,67,47,42,19
48,67,53,42,19
55,69,50,41,19
51,65,54,41,19
46,68,50,43,19
47,70,53,40,19
47,69,55,38,19
47,65,50,39,1
44,70,49,38,1
47,66,51,38,1
49,63,53,46,1
52,70,52,39,1
46,70,66,49,1
38,70,64,42,1
40,70,55,45,1
40,68,54,48,1
39,66,53,48,1
39,70,53,46,1
37,52,50,46,1
40,70,56,46,1
37,70,55,44,1
38,70,52,47,1
36,65,54,46,1
37,62,52,45,1
70,43,0,0,14
70,48,0,0,14
70,40,0,0,14
70,38,0,0,14
70,41,0,0,14
70,41,0,0,14
70,44,0,0,14
70,42,0,0,14
70,43,0,0,14
70,46,0,0,14
70,39,0,0,14
70,47,0,0,14
70,45,0,0,14
70,40,0,0,14
70,35,0,0,14
70,41,0,0,14
70,46,0,0,14
70,43,0,0,14
70,46,0,0,14
70,40,0,0,14
67,42,0,0,14
70,41,0,0,14
70,39,0,0,14
70,38,0,0,14
70,38,0,0,14
70,38,0,0,14
70,43,0,0,14
70,45,0,0,14
70,41,0,0,14
70,43,0,0,14
70,40,0,0,14
70,42,0,0,14
70,39,0,0,14
70,33,0,0,14
70,43,0,0,14
70,40,0,0,14
70,42,0,0,14
70,40,0,0,14
70,41,0,0,14
70,43,0,0,14
70,36,0,0,14
70,40,0,0,14
70,40,0,0,14
70,42,0,0,14
70,43,0,0,14
70,40,0,0,14
70,39,0,0,14
69,43,0,0,14
70,42,0,0,14
70,41,0,0,14
69,40,0,0,14
70,44,0,0,14
70,39,0,0,14
70,38,0,0,14
70,42,0,0,14
70,41,0,0,14
70,33,0,0,14
68,37,0,0,14
68,41,0,0,14
68,41,0,0,14
70,43,0,0,14
70,44,0,0,14
70,40,0,0,14
70,38,0,0,14
70,42,0,0,14
67,41,0,0,14
69,43,0,0,14
69,43,0,0,14
70,46,0,0,14
70,40,0,0,14
70,38,0,0,14
70,43,0,0,14
70,37,0,0,14
70,44,0,0,14
70,43,0,0,14
70,41,23,0,14
70,48,23,0,14
70,55,0,0,15
70,53,0,0,15
70,39,0,0,15
70,57,38,0,15
69,54,38,0,15
70,55,29,27,15
70,56,29,28,15
70,56,29,28,15
70,47,29,28,15
70,51,29,24,15
70,52,35,24,15
70,55,35,29,15
70,56,35,29,15
70,55,35,29,15
70,52,38,29,15
70,55,38,29,15
69,47,38,29,15
70,56,38,29,15
70,55,38,29,15
70,55,38,26,15
70,54,38,26,15
70,53,38,28,15
70,53,38,24,15
70,55,38,24,15
70,57,39,24,15
70,51,39,26,15
68,53,39,26,15
70,55,39,26,15
70,54,39,26,15
70,49,39,26,15
70,51,39,26,15
70,59,35,26,15
70,56,35,30,15
41,70,55,0,2
43,70,53,46,2
38,69,55,44,2
39,70,56,42,2
36,70,58,47,2
38,67,52,48,2
36,69,62,46,2
39,67,54,38,2
36,67,56,38,2
33,68,55,44,2
39,70,54,47,2
37,70,60,45,2
40,69,54,51,2
39,70,54,42,2
38,65,59,45,2
40,70,55,41,2
34,70,53,49,2
43,69,60,49,2
41,69,63,49,2
32,70,55,46,2
39,68,52,46,2
40,70,59,43,2
38,67,55,47,2
35,70,52,45,2
40,70,53,44,2
42,70,59,43,2
35,66,56,43,2
35,69,60,43,2
34,68,53,51,2
38,70,54,49,2
34,65,61,43,2
29,70,53,48,2
0,0,0,0,2
38,67,0,45,3
32,63,54,45,3
35,64,57,47,3
33,67,60,47,3
26,70,60,48,3
30,68,61,44,3
36,68,58,48,3
33,63,52,47,3
34,66,58,48,3
37,70,60,47,3
39,64,59,47,3
40,60,56,45,3
37,65,55,47,3
38,66,60,46,3
31,66,55,45,3
38,69,56,47,3
35,67,59,49,3
35,70,60,48,3
33,68,52,50,3
24,70,59,47,3
35,67,56,46,3
27,63,55,48,3
36,69,54,51,3
37,65,56,39,3
35,70,56,52,3
33,67,54,47,3
40,62,57,51,3
36,69,56,50,3
36,64,55,50,3
30,68,53,52,3
29,67,55,48,3
31,66,59,49,3
33,66,59,50,3
32,68,60,51,3
36,67,55,49,3
29,69,54,48,3
28,70,58,48,3
32,69,56,47,3
32,70,58,51,3
35,70,58,47,3
31,67,59,49,3
37,66,53,52,3
36,70,57,47,3
32,68,60,50,3
36,67,54,50,3
32,70,56,47,3
32,70,55,42,3
39,67,54,43,3
35,70,54,43,3
36,70,55,47,3
33,67,55,45,3
27,68,51,48,3
29,70,54,49,3
29,70,48,48,3
28,70,50,47,3
32,70,48,46,3
30,70,54,48,3
38,69,60,47,3
28,68,51,50,3
37,67,61,43,3
37,67,59,43,3
30,69,59,45,3
33,68,52,48,3
36,69,52,51,3
34,70,52,48,3
29,69,53,43,3
29,65,54,45,3
34,70,50,49,3
35,67,53,46,3
35,68,58,46,3
28,66,53,48,3
34,68,56,48,3
32,70,56,48,3
30,70,57,47,3
28,60,0,48,4
24,60,53,49,4
24,61,55,52,4
24,62,55,48,4
30,62,59,48,4
36,70,58,46,4
34,70,56,49,4
30,67,55,47,4
32,69,54,46,4
32,70,57,43,4
30,68,51,53,4
30,61,56,50,4
35,70,48,48,4
32,70,61,44,4
31,70,58,47,4
36,70,58,49,4
31,67,58,53,4
31,68,58,45,4
31,70,51,45,4
33,70,57,44,4
30,70,53,49,4
35,59,51,45,4
34,70,50,44,4
35,70,53,44,4
27,68,55,50,4
34,64,55,50,4
31,61,54,49,4
32,59,55,50,4
33,54,56,53,4
34,61,53,46,4
34,61,55,51,4
33,64,53,51,4
32,61,54,50,4
33,66,53,51,4
32,67,53,52,4
33,54,52,48,4
29,65,52,49,4
31,56,52,51,4
31,68,53,51,4
25,62,52,49,4
30,65,53,49,4
29,66,50,53,4
30,67,53,50,4
30,63,53,51,4
31,65,50,50,4
30,68,51,49,4
30,65,55,49,4
31,66,54,51,4
33,63,53,52,4
31,62,53,52,4
31,64,49,54,4
29,61,53,48,4
30,64,48,53,4
29,66,54,51,4
33,63,54,52,4
30,63,50,51,4
32,65,53,50,4
34,65,52,50,4
34,65,50,51,4
30,65,50,53,4
32,66,57,50,4
32,67,52,51,4
32,70,55,50,4
28,70,58,50,4
33,63,56,48,4
26,66,54,48,4
26,68,54,44,5
34,63,59,49,5
25,68,53,50,5
36,64,53,53,5
35,62,53,53,5
35,60,57,50,5
39,64,56,53,5
36,66,56,52,5
31,64,57,54,5
29,68,49,55,5
25,57,57,55,5
31,63,57,56,5
31,59,53,50,5
30,64,52,50,5
32,67,52,48,5
36,66,58,49,5
38,68,60,50,5
36,69,56,49,5
32,64,56,50,5
31,67,57,51,5
31,64,58,53,5
29,64,56,56,5
25,63,55,55,5
25,65,57,54,5
31,61,56,56,5
34,63,56,56,5
35,62,56,56,5
33,67,53,56,5
34,67,55,56,5
34,67,51,50,5
30,59,51,54,5
38,61,55,54,5
32,65,57,50,5
24,63,62,47,5
36,64,60,50,5
35,68,53,50,5
30,63,50,50,5
31,67,54,50,5
31,68,49,52,5
29,65,55,53,5
31,64,49,51,5
33,63,51,48,5
31,68,57,51,5
32,67,57,49,5
29,68,59,47,5
34,68,53,52,5
35,63,53,52,5
26,61,63,49,5
31,64,67,49,5
28,65,62,49,5
28,67,63,54,5
28,65,65,55,5
33,65,63,53,5
36,67,60,52,5
30,64,60,50,5
36,67,57,48,5
37,70,60,48,5
32,70,60,55,5
31,70,66,51,5
35,64,58,50,5
31,66,54,49,5
31,65,53,50,5
35,65,59,53,5
29,68,61,52,5
29,67,62,53,5
26,66,62,53,5
33,64,58,54,5
33,67,57,51,5
32,65,61,51,5
33,69,62,49,5
35,67,56,52,5
27,67,56,50,5
25,68,56,50,5
31,67,56,53,5
34,70,63,48,5
37,70,62,54,5
37,68,59,53,5
34,49,36,0,9
43,51,29,48,9
45,49,29,50,9
42,47,29,52,9
42,48,35,53,9
41,49,35,50,9
40,50,35,52,9
39,48,35,53,9
42,49,35,54,9
41,46,32,50,9
40,49,32,51,9
41,48,32,51,9
40,50,32,50,9
42,48,29,47,9
41,48,29,53,9
39,49,29,51,9
36,49,29,51,9
39,45,29,52,9
41,48,32,52,9
39,47,32,50,9
40,49,32,51,9
36,47,32,51,9
42,47,32,50,9
37,47,32,48,9
43,50,32,49,9
40,49,32,47,9
41,52,33,47,9
41,50,33,47,9
42,52,33,47,9
42,51,33,47,9
40,52,33,47,9
43,51,33,47,9
42,47,33,51,9
39,47,33,50,9
44,47,33,48,9
46,52,33,47,9
43,46,33,47,9
39,44,33,51,9
44,43,33,48,9
40,41,33,48,9
42,43,33,47,9
42,40,33,44,9
42,42,31,47,9
40,42,31,47,9
38,42,31,48,9
43,45,31,48,9
42,44,34,44,9
44,45,34,45,9
40,45,34,48,9
40,43,34,43,9
46,44,34,47,9
46,47,34,47,9
34,43,34,47,9
39,47,34,47,9
43,47,34,49,9
42,45,34,46,9
42,42,34,46,9
44,43,34,46,9
48,43,34,42,9
44,44,34,48,9
46,43,34,44,9
46,42,34,46,9
45,44,34,43,9
48,43,34,45,9
43,46,34,44,9
44,46,34,45,9
37,48,34,45,9
40,44,34,49,9
41,41,0,46,9
40,40,0,43,9
41,49,0,43,9
39,45,0,42,9
36,43,0,42,9
43,43,0,49,9
38,48,31,44,9
39,44,31,44,9
43,45,31,44,9
43,39,26,46,9
41,44,26,45,9
39,43,26,47,9
43,46,26,44,9
43,45,26,44,9
42,46,26,47,9
46,45,26,47,9
43,44,26,43,9
44,44,26,45,9
42,39,26,45,9
43,41,26,42,9
44,44,30,43,9
45,42,30,44,9
45,41,30,44,9
46,44,30,44,9
46,46,30,44,9
45,43,30,43,9
44,41,30,44,9
43,44,30,44,9
44,47,30,47,9
44,44,30,40,9
42,48,30,47,9
44,45,36,48,9
51,44,35,50,9
44,44,35,49,9
44,47,35,50,9
44,48,35,50,9
49,52,35,46,9
48,46,35,45,9
44,49,35,45,9
42,50,35,45,9
49,45,35,45,9
49,46,35,47,9
46,48,35,41,9
